2015102503,2015-10-25,2,12,24,NE,NYJ,1,10,39,,0,,0,(12:24) 12-T.BRADY PASS INCOMPLETE SHORT MIDDLE TO 87-R.GRONKOWSKI.,0,,,2015,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,39,OWN,0,,0,,0
2015102503,2015-10-25,2,6,24,NE,NYJ,0,0,35,,1,,0,"3-S.GOSTKOWSKI KICKS 65 YARDS FROM NE 35 TO END ZONE, TOUCHBACK.",0,,,2015,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2015102503,2015-10-25,2,0,12,NE,NYJ,1,10,46,,0,,0,(:12) (SHOTGUN) 12-T.BRADY PASS SHORT RIGHT TO 87-R.GRONKOWSKI TO NYJ 46 FOR 8 YARDS (56-D.DAVIS).,0,,,2015,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,46,OWN,0,,0,,0
2015102503,2015-10-25,4,7,48,NE,NYJ,2,8,90,,0,,0,(7:48) (SHOTGUN) 12-T.BRADY SCRAMBLES RIGHT GUARD TO NYJ 8 FOR 2 YARDS (91-S.RICHARDSON). NYJ-91-S.RICHARDSON WAS INJURED DURING THE PLAY.,0,,,2015,2,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,0,,10,OPP,0,,0,,0
2015102503,2015-10-25,4,1,13,NE,NYJ,0,0,85,,1,,0,"3-S.GOSTKOWSKI EXTRA POINT IS GOOD, CENTER-49-J.CARDONA, HOLDER-6-R.ALLEN.",0,,,2015,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2015102503,2015-10-25,4,1,13,NE,NYJ,0,0,35,,1,,0,"3-S.GOSTKOWSKI KICKS 65 YARDS FROM NE 35 TO END ZONE, TOUCHBACK.",0,,,2015,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2015102900,2015-10-29,1,15,0,NE,MIA,1,10,20,,0,,0,(15:00) 29-L.BLOUNT UP THE MIDDLE TO NE 28 FOR 8 YARDS (52-K.SHEPPARD; 31-M.THOMAS).,0,,,2015,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,20,OWN,0,,0,,0
2015102900,2015-10-29,2,6,15,NE,MIA,1,10,25,,0,,0,(6:15) 29-L.BLOUNT UP THE MIDDLE TO NE 27 FOR 2 YARDS (52-K.SHEPPARD).,0,,,2015,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,25,OWN,0,,0,,0
2015102900,2015-10-29,2,0,42,NE,MIA,1,10,71,,0,,0,"(:42) 12-T.BRADY PASS INCOMPLETE SHORT MIDDLE TO 19-B.LAFELL (55-K.MISI). PENALTY ON MIA-91-C.WAKE, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT MIA 29 - NO PLAY.",0,,,2015,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,1,0,0,,29,OPP,1,MIA,1,DEFENSIVE OFFSIDE,5
2015110802,2015-11-08,1,9,1,NE,WAS,0,0,35,,1,,0,3-S.GOSTKOWSKI KICKS ONSIDE 10 YARDS FROM NE 35 TO NE 45. RECOVERED BY NE-55-J.FREENY.,0,,,2015,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2015110802,2015-11-08,1,8,58,NE,WAS,1,10,45,,0,,0,(8:58) 80-D.AMENDOLA LEFT END RAN OB AT WAS 47 FOR 8 YARDS. REVERSE,0,,,2015,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT END,45,OWN,0,,0,,0
2015110802,2015-11-08,1,8,35,NE,WAS,2,2,53,,1,,0,(8:35) 29-L.BLOUNT RIGHT TACKLE TO WAS 41 FOR 6 YARDS (41-W.BLACKMON).,0,,,2015,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT TACKLE,47,OPP,0,,0,,0
2015110802,2015-11-08,1,8,5,NE,WAS,1,10,59,,0,,0,(8:05) 33-D.LEWIS RIGHT END TO NE 48 FOR -11 YARDS (91-R.KERRIGAN).,0,,,2015,-11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,41,OPP,0,,0,,0
