GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2015091305,2015-09-13,2,0,0,,CLE,0,0,0,,1,,0,"END QUARTER 2",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091305,2015-09-13,3,10,52,CLE,NYJ,3,7,37,,1,,0,"(10:52) (SHOTGUN) 2-J.MANZIEL PASS SHORT LEFT INTENDED FOR 83-B.HARTLINE INTERCEPTED BY 20-M.WILLIAMS AT CLE 46. 20-M.WILLIAMS PUSHED OB AT CLE 28 FOR 18 YARDS (75-J.BITONIO).",0,,,2015,18,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,1,0,0,0,0,,37,OWN,0,,0,,0
2015091306,2015-09-13,1,0,0,,KC,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091306,2015-09-13,3,4,49,KC,HOU,1,10,35,,0,,0,"(4:49) 11-A.SMITH PASS INCOMPLETE SHORT RIGHT.",0,,,2015,0,"UNDER CENTER",PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2015091306,2015-09-13,3,4,42,KC,HOU,2,10,35,,0,,0,"(4:42) (SHOTGUN) 11-A.SMITH PASS SHORT RIGHT TO 13-D.THOMAS TO KC 37 FOR 2 YARDS (25-K.JACKSON, 27-Q.DEMPS).",0,,,2015,2,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2015091306,2015-09-13,4,3,26,KC,HOU,2,6,24,,0,,0,"(3:26) 11-A.SMITH PASS INCOMPLETE SHORT RIGHT [99-J.WATT].",0,,,2015,0,"UNDER CENTER",PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,24,OWN,0,,0,,0
2015091306,2015-09-13,4,1,22,KC,HOU,1,10,50,,0,,0,"(1:22) 11-A.SMITH KNEELS TO KC 49 FOR -1 YARDS.",0,,,2015,0,"UNDER CENTER","QB KNEEL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,50,OPP,0,,0,,0
2015091307,2015-09-13,1,7,20,NO,ARI,2,1,41,,0,,0,"(7:20) 29-K.ROBINSON LEFT TACKLE TO NO 41 FOR NO GAIN (51-K.MINTER).",0,,,2015,0,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT TACKLE",41,OWN,0,,0,,0
2015091307,2015-09-13,3,9,2,NO,ARI,1,10,43,,0,,0,"(9:02) 29-K.ROBINSON UP THE MIDDLE TO ARI 49 FOR 8 YARDS (51-K.MINTER). PENALTY ON NO-64-Z.STRIEF, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NO 43 - NO PLAY.",0,,,2015,8,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,1,0,0,CENTER,43,OWN,1,NO,1,"OFFENSIVE HOLDING",10
2015091308,2015-09-13,1,0,0,,DET,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
